Номер операции      Угол элевации       Угол курса
1001                   18.8501               77.8077
1002                   18.8677               78.6098
1003                   18.8677               78.6098
1004                   18.9031               80.2141
1005                   18.9031               80.2141
1006                   18.9388               81.8184
1007                   18.9388               81.8184
1008                   18.9567               82.6205
1009                   18.9747               83.4227
1010                   19.011               85.0269
1011                   19.011               85.0269
1012                   19.0292               85.8291
1013                   19.0474               86.6312
1014                   19.0657               87.4334
1015                   19.084               88.2355
1016                   19.1024               89.0376
1017                   19.1208               89.8398
1018                   19.1393               90.6419
1019                   19.1763               92.2462
1020                   19.1763               92.2462
1021                   19.2135               90.6419
1022                   19.2135               90.6419
1023                   19.2508               92.2462
1024                   19.2695               91.4441
1025                   19.2695               91.4441
1026                   19.307               89.8398
1027                   19.307               89.8398
1028                   19.3446               91.4441
1029                   19.3446               91.4441
1030                   19.3824               89.8398
1031                   19.4014               90.6419
1032                   19.4014               90.6419
1033                   19.4394               92.2462
1034                   19.4394               92.2462
1035                   19.4775               90.6419
1036                   19.4775               90.6419
1037                   19.5158               92.2462
1038                   19.5158               92.2462
1039                   19.5542               90.6419
1040                   19.5735               91.4441
1041                   19.5735               91.4441
1042                   19.6122               89.8398
1043                   19.6122               89.8398
1044                   19.651               91.4441
1045                   19.651               91.4441
1046                   19.6899               89.8398
1047                   19.6899               89.8398
1048                   19.729               91.4441
1049                   19.729               91.4441
1050                   19.7682               89.8398
1051                   19.7682               89.8398
1052                   19.8076               91.4441
1053                   19.8076               91.4441
1054                   19.8472               89.8398
1055                   19.8472               89.8398
1056                   19.8869               91.4441
1057                   19.8869               91.4441
1058                   19.9267               89.8398
1059                   19.9267               89.8398
1060                   19.9668               91.4441
1061                   19.9668               91.4441
1062                   20.0069               89.8398
1063                   20.0069               89.8398
1064                   20.0472               91.4441
1065                   20.0472               91.4441
1066                   20.0877               89.8398
1067                   20.0877               89.8398
1068                   20.1283               91.4441
1069                   20.1283               91.4441
1070                   20.1691               89.8398
1071                   20.1896               90.6419
1072                   20.1896               90.6419
1073                   20.2101               91.4441
1074                   20.2512               89.8398
1075                   20.2512               89.8398
1076                   20.2924               91.4441
1077                   20.2924               91.4441
1078                   20.3339               89.8398
1079                   20.3339               89.8398
1080                   20.3546               90.6419
1081                   20.3755               91.4441
